puzzle,solution,pretty_puzzle
105026009082107645307000010204098050000003004790000300406080020029365471000742890,145826739982137645367459218234698157651273984798514362476981523829365471513742896,"1   5 |   2 6 |     9
  8 2 | 1   7 | 6 4 5
3   7 |       |   1  
- - - + - - - + - - -
2   4 |   9 8 |   5  
      |     3 |     4
7 9   |       | 3    
- - - + - - - + - - -
4   6 |   8   |   2  
  2 9 | 3 6 5 | 4 7 1
      | 7 4 2 | 8 9  "
500092380198070604273800000057210908009050063031609752905460230702500496040901005,564192387198375624273846519657213948829754163431689752985467231712538496346921875,"5     |   9 2 | 3 8  
1 9 8 |   7   | 6   4
2 7 3 | 8     |      
- - - + - - - + - - -
  5 7 | 2 1   | 9   8
    9 |   5   |   6 3
  3 1 | 6   9 | 7 5 2
- - - + - - - + - - -
9   5 | 4 6   | 2 3  
7   2 | 5     | 4 9 6
  4   | 9   1 |     5"
000000700913070504075000002701568923050029408800703160198400057007915846064007309,682354791913672584475891632741568923356129478829743165198436257237915846564287319,"      |       | 7    
9 1 3 |   7   | 5   4
  7 5 |       |     2
- - - + - - - + - - -
7   1 | 5 6 8 | 9 2 3
  5   |   2 9 | 4   8
8     | 7   3 | 1 6  
- - - + - - - + - - -
1 9 8 | 4     |   5 7
    7 | 9 1 5 | 8 4 6
  6 4 |     7 | 3   9"
703600004000975002562001970100408506600719003340526807070290635006000080054060720,793682154418975362562341978127438596685719243349526817871294635236157489954863721,"7   3 | 6     |     4
      | 9 7 5 |     2
5 6 2 |     1 | 9 7  
- - - + - - - + - - -
1     | 4   8 | 5   6
6     | 7 1 9 |     3
3 4   | 5 2 6 | 8   7
- - - + - - - + - - -
  7   | 2 9   | 6 3 5
    6 |       |   8  
  5 4 |   6   | 7 2  "
267180005000050060508604100380007216000300804056240307675800032001400609942730000,267183945413952768598674123384597216729361854156248397675819432831425679942736581,"2 6 7 | 1 8   |     5
      |   5   |   6  
5   8 | 6   4 | 1    
- - - + - - - + - - -
3 8   |     7 | 2 1 6
      | 3     | 8   4
  5 6 | 2 4   | 3   7
- - - + - - - + - - -
6 7 5 | 8     |   3 2
    1 | 4     | 6   9
9 4 2 | 7 3   |      "
003075060600320740504960030290050304005100607007000590058216070036009852002580006,823475169619328745574961238291657384385194627467832591958216473136749852742583916,"    3 |   7 5 |   6  
6     | 3 2   | 7 4  
5   4 | 9 6   |   3  
- - - + - - - + - - -
2 9   |   5   | 3   4
    5 | 1     | 6   7
    7 |       | 5 9  
- - - + - - - + - - -
  5 8 | 2 1 6 |   7  
  3 6 |     9 | 8 5 2
    2 | 5 8   |     6"
109060002240700000006920301480000000021648507000030208304500009862001054507482600,139865472248713965756924381483257196921648537675139248314576829862391754597482613,"1   9 |   6   |     2
2 4   | 7     |      
    6 | 9 2   | 3   1
- - - + - - - + - - -
4 8   |       |      
  2 1 | 6 4 8 | 5   7
      |   3   | 2   8
- - - + - - - + - - -
3   4 | 5     |     9
8 6 2 |     1 |   5 4
5   7 | 4 8 2 | 6    "
459108070160720450827400609906000800584306900702900040201094300695007100000015090,459168273163729458827453619916542837584376921732981546271894365695237184348615792,"4 5 9 | 1   8 |   7  
1 6   | 7 2   | 4 5  
8 2 7 | 4     | 6   9
- - - + - - - + - - -
9   6 |       | 8    
5 8 4 | 3   6 | 9    
7   2 | 9     |   4  
- - - + - - - + - - -
2   1 |   9 4 | 3    
6 9 5 |     7 | 1    
      |   1 5 |   9  "
001692470000000901000403006060500230050008604203001800319250700800739145000186002,581692473634875921792413586168547239957328614243961857319254768826739145475186392,"    1 | 6 9 2 | 4 7  
      |       | 9   1
      | 4   3 |     6
- - - + - - - + - - -
  6   | 5     | 2 3  
  5   |     8 | 6   4
2   3 |     1 | 8    
- - - + - - - + - - -
3 1 9 | 2 5   | 7    
8     | 7 3 9 | 1 4 5
      | 1 8 6 |     2"
431860907000230000095700086500004210710900430084152060100090040943020071850010692,431865927678239154295741386569374218712986435384152769126597843943628571857413692,"4 3 1 | 8 6   | 9   7
      | 2 3   |      
  9 5 | 7     |   8 6
- - - + - - - + - - -
5     |     4 | 2 1  
7 1   | 9     | 4 3  
  8 4 | 1 5 2 |   6  
- - - + - - - + - - -
1     |   9   |   4  
9 4 3 |   2   |   7 1
8 5   |   1   | 6 9 2"
783410090000896030560002408095004060324080905176053080902507041000148000018329700,783415692241896537569732418895274163324681975176953284932567841657148329418329756,"7 8 3 | 4 1   |   9  
      | 8 9 6 |   3  
5 6   |     2 | 4   8
- - - + - - - + - - -
  9 5 |     4 |   6  
3 2 4 |   8   | 9   5
1 7 6 |   5 3 |   8  
- - - + - - - + - - -
9   2 | 5   7 |   4 1
      | 1 4 8 |      
  1 8 | 3 2 9 | 7    "
275100900300506002080024357860050430007060020530008700920745013703890640400600270,275183964394576182681924357869257431147369528532418796926745813713892645458631279,"2 7 5 | 1     | 9    
3     | 5   6 |     2
  8   |   2 4 | 3 5 7
- - - + - - - + - - -
8 6   |   5   | 4 3  
    7 |   6   |   2  
5 3   |     8 | 7    
- - - + - - - + - - -
9 2   | 7 4 5 |   1 3
7   3 | 8 9   | 6 4  
4     | 6     | 2 7  "
000602143002409005007150902890025600756004030243008590678201059520047316034590020,985672143312489765467153982891325674756914238243768591678231459529847316134596827,"      | 6   2 | 1 4 3
    2 | 4   9 |     5
    7 | 1 5   | 9   2
- - - + - - - + - - -
8 9   |   2 5 | 6    
7 5 6 |     4 |   3  
2 4 3 |     8 | 5 9  
- - - + - - - + - - -
6 7 8 | 2   1 |   5 9
5 2   |   4 7 | 3 1 6
  3 4 | 5 9   |   2  "
000400001782000300061080029318090470600210000000300100076159204020836517050040968,539427681782961345461583729318695472697214853245378196876159234924836517153742968,"      | 4     |     1
7 8 2 |       | 3    
  6 1 |   8   |   2 9
- - - + - - - + - - -
3 1 8 |   9   | 4 7  
6     | 2 1   |      
      | 3     | 1    
- - - + - - - + - - -
  7 6 | 1 5 9 | 2   4
  2   | 8 3 6 | 5 1 7
  5   |   4   | 9 6 8"
009370658687002103100840002000200001208100390070003285500000007890000420742030019,429371658687592143135846972354289761268157394971463285516924837893715426742638519,"    9 | 3 7   | 6 5 8
6 8 7 |     2 | 1   3
1     | 8 4   |     2
- - - + - - - + - - -
      | 2     |     1
2   8 | 1     | 3 9  
  7   |     3 | 2 8 5
- - - + - - - + - - -
5     |       |     7
8 9   |       | 4 2  
7 4 2 |   3   |   1 9"
120700300900380175007001009000030201030279684602500090015900400090128067006053902,128795346964382175357641829749836251531279684682514793215967438493128567876453912,"1 2   | 7     | 3    
9     | 3 8   | 1 7 5
    7 |     1 |     9
- - - + - - - + - - -
      |   3   | 2   1
  3   | 2 7 9 | 6 8 4
6   2 | 5     |   9  
- - - + - - - + - - -
  1 5 | 9     | 4    
  9   | 1 2 8 |   6 7
    6 |   5 3 | 9   2"
802490050400587900059200460070900600600105380305860217286019500500648002041350006,812496753463587921759231468178923645624175389395864217286719534537648192941352876,"8   2 | 4 9   |   5  
4     | 5 8 7 | 9    
  5 9 | 2     | 4 6  
- - - + - - - + - - -
  7   | 9     | 6    
6     | 1   5 | 3 8  
3   5 | 8 6   | 2 1 7
- - - + - - - + - - -
2 8 6 |   1 9 | 5    
5     | 6 4 8 |     2
  4 1 | 3 5   |     6"
207000000530008002010037458301500206600009340040362000009025034420081507058603901,287456193534198672916237458391574286672819345845362719169725834423981567758643921,"2   7 |       |      
5 3   |     8 |     2
  1   |   3 7 | 4 5 8
- - - + - - - + - - -
3   1 | 5     | 2   6
6     |     9 | 3 4  
  4   | 3 6 2 |      
- - - + - - - + - - -
    9 |   2 5 |   3 4
4 2   |   8 1 | 5   7
  5 8 | 6   3 | 9   1"
600034901300620578529780306090800600451900000060075000130450700740306080080000050,678534921314629578529781346297843615451962837863175294132458769745396182986217453,"6     |   3 4 | 9   1
3     | 6 2   | 5 7 8
5 2 9 | 7 8   | 3   6
- - - + - - - + - - -
  9   | 8     | 6    
4 5 1 | 9     |      
  6   |   7 5 |      
- - - + - - - + - - -
1 3   | 4 5   | 7    
7 4   | 3   6 |   8  
  8   |       |   5  "
642085000580060427013200008006300002204078103130926704060009005028407310300600800,642785931589163427713294658876341592294578163135926784461839275928457316357612849,"6 4 2 |   8 5 |      
5 8   |   6   | 4 2 7
  1 3 | 2     |     8
- - - + - - - + - - -
    6 | 3     |     2
2   4 |   7 8 | 1   3
1 3   | 9 2 6 | 7   4
- - - + - - - + - - -
  6   |     9 |     5
  2 8 | 4   7 | 3 1  
3     | 6     | 8    "
008000792759006008003870005074001500010098036306025001460100053987300064030060087,648513792759246318123879645874631529215798436396425871462187953987352164531964287,"    8 |       | 7 9 2
7 5 9 |     6 |     8
    3 | 8 7   |     5
- - - + - - - + - - -
  7 4 |     1 | 5    
  1   |   9 8 |   3 6
3   6 |   2 5 |     1
- - - + - - - + - - -
4 6   | 1     |   5 3
9 8 7 | 3     |   6 4
  3   |   6   |   8 7"
000394120923761500006008973260140700470500318305879600600910807092005001800037060,587394126923761584146258973268143795479526318315879642634912857792685431851437269,"      | 3 9 4 | 1 2  
9 2 3 | 7 6 1 | 5    
    6 |     8 | 9 7 3
- - - + - - - + - - -
2 6   | 1 4   | 7    
4 7   | 5     | 3 1 8
3   5 | 8 7 9 | 6    
- - - + - - - + - - -
6     | 9 1   | 8   7
  9 2 |     5 |     1
8     |   3 7 |   6  "
467300000000020960029406070715000400030910507940075036390540600080600700070082359,467398215853721964129456873715863492236914587948275136391547628582639741674182359,"4 6 7 | 3     |      
      |   2   | 9 6  
  2 9 | 4   6 |   7  
- - - + - - - + - - -
7 1 5 |       | 4    
  3   | 9 1   | 5   7
9 4   |   7 5 |   3 6
- - - + - - - + - - -
3 9   | 5 4   | 6    
  8   | 6     | 7    
  7   |   8 2 | 3 5 9"
800500006000000090901023540258700913096230804007009020000952107620100080010380052,842591736563478291971623548258764913196235874437819625384952167625147389719386452,"8     | 5     |     6
      |       |   9  
9   1 |   2 3 | 5 4  
- - - + - - - + - - -
2 5 8 | 7     | 9 1 3
  9 6 | 2 3   | 8   4
    7 |     9 |   2  
- - - + - - - + - - -
      | 9 5 2 | 1   7
6 2   | 1     |   8  
  1   | 3 8   |   5 2"
853400279200395080900207360004520018100008700600710904480000530016950047000800090,853461279267395481941287365734529618195648723628713954489176532316952847572834196,"8 5 3 | 4     | 2 7 9
2     | 3 9 5 |   8  
9     | 2   7 | 3 6  
- - - + - - - + - - -
    4 | 5 2   |   1 8
1     |     8 | 7    
6     | 7 1   | 9   4
- - - + - - - + - - -
4 8   |       | 5 3  
  1 6 | 9 5   |   4 7
      | 8     |   9  "
034120658000760040269080701571802090083905010942607000427300109300091804190476520,734129658815763942269584731571832496683945217942617385427358169356291874198476523,"  3 4 | 1 2   | 6 5 8
      | 7 6   |   4  
2 6 9 |   8   | 7   1
- - - + - - - + - - -
5 7 1 | 8   2 |   9  
  8 3 | 9   5 |   1  
9 4 2 | 6   7 |      
- - - + - - - + - - -
4 2 7 | 3     | 1   9
3     |   9 1 | 8   4
1 9   | 4 7 6 | 5 2  "
000073206004060730673820040900200380582000600731084520417090052060542090295010000,859473216124965738673821945946257381582139674731684529417396852368542197295718463,"      |   7 3 | 2   6
    4 |   6   | 7 3  
6 7 3 | 8 2   |   4  
- - - + - - - + - - -
9     | 2     | 3 8  
5 8 2 |       | 6    
7 3 1 |   8 4 | 5 2  
- - - + - - - + - - -
4 1 7 |   9   |   5 2
  6   | 5 4 2 |   9  
2 9 5 |   1   |      "
895470203030086500000523000150067009000208100200100000026094318903012750701005490,895471263432986571617523984154367829369258147278149635526794318943812756781635492,"8 9 5 | 4 7   | 2   3
  3   |   8 6 | 5    
      | 5 2 3 |      
- - - + - - - + - - -
1 5   |   6 7 |     9
      | 2   8 | 1    
2     | 1     |      
- - - + - - - + - - -
  2 6 |   9 4 | 3 1 8
9   3 |   1 2 | 7 5  
7   1 |     5 | 4 9  "
207605108300214907104897230025761009760050010900080705030006870002003601670900523,297635148386214957154897236425761389768359412913482765539126874842573691671948523,"2   7 | 6   5 | 1   8
3     | 2 1 4 | 9   7
1   4 | 8 9 7 | 2 3  
- - - + - - - + - - -
  2 5 | 7 6 1 |     9
7 6   |   5   |   1  
9     |   8   | 7   5
- - - + - - - + - - -
  3   |     6 | 8 7  
    2 |     3 | 6   1
6 7   | 9     | 5 2 3"
605089372000007005009400060320000050561300700497526080030902517702650940950000006,645189372183267495279435861328714659561398724497526183836942517712653948954871236,"6   5 |   8 9 | 3 7 2
      |     7 |     5
    9 | 4     |   6  
- - - + - - - + - - -
3 2   |       |   5  
5 6 1 | 3     | 7    
4 9 7 | 5 2 6 |   8  
- - - + - - - + - - -
  3   | 9   2 | 5 1 7
7   2 | 6 5   | 9 4  
9 5   |       |     6"
107006804008702019020080570082410600090307281761029450830000042405093760200640030,157936824648752319923184576382415697594367281761829453836571942415293768279648135,"1   7 |     6 | 8   4
    8 | 7   2 |   1 9
  2   |   8   | 5 7  
- - - + - - - + - - -
  8 2 | 4 1   | 6    
  9   | 3   7 | 2 8 1
7 6 1 |   2 9 | 4 5  
- - - + - - - + - - -
8 3   |       |   4 2
4   5 |   9 3 | 7 6  
2     | 6 4   |   3  "
964072500050100760007060040001837004789250000003000027806720095070600318005481600,964372581258149763137568249621837954789254136543916827816723495472695318395481672,"9 6 4 |   7 2 | 5    
  5   | 1     | 7 6  
    7 |   6   |   4  
- - - + - - - + - - -
    1 | 8 3 7 |     4
7 8 9 | 2 5   |      
    3 |       |   2 7
- - - + - - - + - - -
8   6 | 7 2   |   9 5
  7   | 6     | 3 1 8
    5 | 4 8 1 | 6    "
560182374870040900400900080004870610000210007000600030008365000132400065090001843,569182374873546921421937586254873619386219457917654238748365192132498765695721843,"5 6   | 1 8 2 | 3 7 4
8 7   |   4   | 9    
4     | 9     |   8  
- - - + - - - + - - -
    4 | 8 7   | 6 1  
      | 2 1   |     7
      | 6     |   3  
- - - + - - - + - - -
    8 | 3 6 5 |      
1 3 2 | 4     |   6 5
  9   |     1 | 8 4 3"
510830006896002074002904000649051080700006021105070069408020057950080042007040930,514837296896512374372964815649251783783496521125378469438629157951783642267145938,"5 1   | 8 3   |     6
8 9 6 |     2 |   7 4
    2 | 9   4 |      
- - - + - - - + - - -
6 4 9 |   5 1 |   8  
7     |     6 |   2 1
1   5 |   7   |   6 9
- - - + - - - + - - -
4   8 |   2   |   5 7
9 5   |   8   |   4 2
    7 |   4   | 9 3  "
031800759060490010279310000304682090087000040912004038198570020540268900720001083,431826759865497312279315864354682197687139245912754638198573426543268971726941583,"  3 1 | 8     | 7 5 9
  6   | 4 9   |   1  
2 7 9 | 3 1   |      
- - - + - - - + - - -
3   4 | 6 8 2 |   9  
  8 7 |       |   4  
9 1 2 |     4 |   3 8
- - - + - - - + - - -
1 9 8 | 5 7   |   2  
5 4   | 2 6 8 | 9    
7 2   |     1 |   8 3"
080600001941807053650409072002143009408702000000086724174260935036590207500004060,287635491941827653653419872762143589498752316315986724174268935836591247529374168,"  8   | 6     |     1
9 4 1 | 8   7 |   5 3
6 5   | 4   9 |   7 2
- - - + - - - + - - -
    2 | 1 4 3 |     9
4   8 | 7   2 |      
      |   8 6 | 7 2 4
- - - + - - - + - - -
1 7 4 | 2 6   | 9 3 5
  3 6 | 5 9   | 2   7
5     |     4 |   6  "
120006574006020901730145200070619053980053000560280007000900000697001428010000000,128396574456827931739145286274619853981753642563284197342968715697531428815472369,"1 2   |     6 | 5 7 4
    6 |   2   | 9   1
7 3   | 1 4 5 | 2    
- - - + - - - + - - -
  7   | 6 1 9 |   5 3
9 8   |   5 3 |      
5 6   | 2 8   |     7
- - - + - - - + - - -
      | 9     |      
6 9 7 |     1 | 4 2 8
  1   |       |      "
